<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240125;095935;1616;8;9463799398;B
20240125;095935;1616;22;9463799399;B
20240125;095935;1616;1;9463799400;B
20240125;095935;1616;1;9463799401;B
20240125;095935;1616;36;9463799402;B
20240125;095935;1616;8;9463799403;B
20240125;095935;1616;60;9463799404;B
20240125;095935;1616;1;9463799405;B
20240125;095935;1616;2;9463799406;B
20240125;095935;1616;2;9463799407;B
20240125;095935;1616;4;9463799408;S
20240125;095935;1616;3;9463799409;S
20240125;095935;1616;3;9463799410;S
20240125;095935;1616;3;9463799411;S
20240125;095935;1616;78;9463799412;S
20240125;095935;1616;1;9463799413;S
20240125;095935;1616;21;9463799414;S
20240125;095935;1616;79;9463799415;S
20240125;095935;1616;3;9463799416;S
20240125;095935;1616;1;9463799417;S
20240125;095935;1616;1;9463799418;S
20240125;095935;1616;1;9463799419;S
20240125;095935;1616;15;9463799420;S
20240125;095935;1616;10;9463799421;S
20240125;095935;1616;30;9463799422;S
20240125;095935;1616;60;9463799423;S
20240125;095935;1616;100;9463799424;S
20240125;095935;1616;4;9463799425;S
20240125;095935;1616;2;9463799426;S
20240125;095935;1616;74;9463799427;B
20240125;095935;1616;26;9463799428;B
20240125;095935;1616;4;9463799429;B
20240125;095935;1616;20;9463799430;S
20240125;095935;1616;20;9463799431;B
20240125;095935;1616;20;9463799432;S
20240125;095935;1616;1;9463799433;B
20240125;095935;1616;35;9463799434;S
20240125;095935;1616;15;9463799435;S
20240125;095935;1616;2;9463799436;S
20240125;095935;1616;27;9463799437;S
20240125;095935;1616;1;9463799438;B
20240125;095935;1616;1;9463799439;B
20240125;095935;1616;50;9463799440;S
20240125;095935;1616;1;9463799441;S
20240125;095935;1616;3;9463799442;S
20240125;095935;1616;100;9463799443;S
20240125;095935;1616;27;9463799444;S
20240125;095935;1616;60;9463799445;S
20240125;095935;1616;13;9463799446;S
20240125;095935;1616;100;9463799447;S
20240125;095935;1616;73;9463799448;S
20240125;095935;1616;27;9463799449;S
20240125;095935;1616;153;9463799450;S
20240125;095935;1616;26;9463799451;S
20240125;095935;1616;4;9463799452;S
20240125;095935;1616;3;9463799453;B
20240125;095935;1616;5;9463799454;B
20240125;095935;1616;3;9463799455;B
20240125;095935;1616;4;9463799456;B
20240125;095935;1616;51;9463799457;S
20240125;095935;1616;49;9463799458;S
20240125;095935;1616;5;9463799459;B
20240125;095935;1616;20;9463799460;B
20240125;095935;1616;21;9463799461;S
20240125;095935;1616;1;9463799462;B
20240125;095935;1616;40;9463799463;S
20240125;095935;1616;1;9463799464;S
20240125;095935;1616;37;9463799465;B
20240125;100000;1617;1;9463805193;B
20240125;100000;1617;20;9463805194;B
20240125;100000;1617;3;9463805195;B
20240125;100000;1617;3;9463805196;B
20240125;100000;1617;3;9463805197;B
20240125;100000;1617;3;9463805198;B
20240125;100000;1617;3;9463805199;B
20240125;100000;1617;3;9463805200;B
20240125;100000;1617;3;9463805201;B
20240125;100000;1617;3;9463805202;B
20240125;100000;1617;3;9463805203;B
20240125;100000;1617;3;9463805204;B
20240125;100000;1617;3;9463805205;B
20240125;100000;1617;3;9463805206;B
20240125;100000;1617;3;9463805207;B
20240125;100000;1617;3;9463805208;B
20240125;100000;1617;3;9463805209;B
20240125;100000;1617;3;9463805210;B
20240125;100000;1617;3;9463805211;B
20240125;100000;1617;3;9463805212;B
20240125;100000;1617;3;9463805213;B
20240125;100000;1617;3;9463805214;B
20240125;100000;1617;3;9463805215;B
20240125;100000;1617;3;9463805216;B
20240125;100000;1617.2;3;9463805217;B
20240125;100000;1617.2;3;9463805218;B
20240125;100000;1617.2;3;9463805219;B
20240125;100000;1617.2;3;9463805220;B
20240125;100000;1617.2;3;9463805221;B
20240125;100000;1617.2;3;9463805222;B
20240125;100000;1617.2;3;9463805223;B
20240125;100000;1617.2;3;9463805224;B
20240125;100000;1617.2;3;9463805225;B
20240125;100000;1617.2;3;9463805226;B
20240125;100000;1617.2;3;9463805227;B
20240125;100000;1617.2;3;9463805228;B
20240125;100000;1617.2;3;9463805229;B
20240125;100000;1617.2;3;9463805230;B
20240125;100000;1617.2;3;9463805231;B
20240125;100000;1617.2;3;9463805232;B
20240125;100000;1617.2;3;9463805233;B
20240125;100000;1617.2;3;9463805234;B
20240125;100000;1617.2;3;9463805235;B
20240125;100000;1617.2;3;9463805236;B
20240125;100000;1617.2;3;9463805237;B
20240125;100000;1617.2;3;9463805238;B
20240125;100000;1617.6;5;9463805288;B
20240125;100000;1618;30;9463805825;B
20240125;100000;1618;1;9463805826;B
20240125;100000;1618.8;11;9463805827;B
20240125;100000;1618.8;19;9463805828;B
20240125;100001;1618.8;14;9463805849;B
20240125;100001;1618.8;57;9463805904;B
20240125;100001;1618.8;29;9463805967;B
20240125;100001;1617.8;7;9463805975;S
20240125;100001;1618.8;6;9463806040;B
20240125;100001;1617.8;4;9463806210;S
20240125;100001;1619;1;9463806477;B
20240125;100002;1619;1;9463806737;B
20240125;100002;1619;2;9463806738;B
20240125;100002;1617.8;1;9463806781;S
20240125;100002;1618.8;20;9463806978;B
20240125;100002;1618.8;10;9463806990;B
20240125;100002;1619;28;9463806991;B
20240125;100002;1619;1;9463806992;B
20240125;100002;1619;112;9463806993;B
20240125;100002;1619;118;9463806994;B
20240125;100002;1617.8;4;9463807013;S
20240125;100004;1618.8;1;9463808185;B
20240125;100004;1618.6;1;9463808469;S
20240125;100005;1618.8;1;9463808623;B
20240125;100005;1618.6;1;9463808741;S
20240125;100005;1618.8;1;9463808866;B
20240125;100005;1618.6;3;9463809327;S
20240125;100005;1618.8;1;9463809720;B
20240125;100005;1618.6;3;9463809967;S
20240125;100005;1618.6;1;9463810092;S
20240125;100006;1618.6;62;9463810255;S
20240125;100006;1618.8;1;9463810257;B
20240125;100006;1618.8;2;9463810392;B
20240125;100006;1618.6;1;9463811087;S
20240125;100007;1618.8;1;9463811330;B
20240125;100007;1618.8;2;9463811426;B
20240125;100007;1619;18;9463811427;B
20240125;100008;1619;15;9463811946;B
20240125;100008;1619;1;9463811991;B
20240125;100008;1619;16;9463812167;B
20240125;100009;1619.2;5;9463812609;B
20240125;100009;1619.2;1;9463812635;B
20240125;100009;1619.2;3;9463812636;B
20240125;100010;1619.2;7;9463812746;B
20240125;100010;1619.2;4;9463812747;B
20240125;100010;1619.2;50;9463812748;B
20240125;100010;1619.2;1;9463812749;B
20240125;100010;1619.4;10;9463812750;B
20240125;100010;1619.4;10;9463812751;B
20240125;100010;1619.4;7;9463812752;B
20240125;100010;1619.4;4;9463812753;B
20240125;100010;1619.4;15;9463812851;B
20240125;100010;1619;35;9463812858;S
20240125;100010;1619.4;1;9463812859;B
20240125;100010;1619.6;10;9463812860;B
20240125;100010;1619.6;618;9463812887;B
20240125;100010;1619.6;216;9463812903;B
20240125;100010;1619.6;16;9463812909;B
20240125;100010;1619.6;617;9463812912;B
20240125;100010;1619.6;53;9463812914;B
20240125;100010;1619.8;6;9463812915;B
20240125;100010;1619.8;1;9463812916;B
20240125;100010;1619.8;1;9463812917;B
20240125;100010;1619.8;1;9463812918;B
20240125;100010;1619.8;3;9463812919;B
20240125;100010;1620;1;9463812920;B
20240125;100010;1620;6;9463812921;B
20240125;100010;1620;1;9463812922;B
20240125;100010;1620;38;9463812923;B
20240125;100010;1620;2;9463812924;B
20240125;100010;1620;4;9463812925;B
20240125;100010;1620;2;9463812926;B
20240125;100010;1620;1;9463812927;B
20240125;100010;1620;1;9463812928;B
20240125;100010;1620;1;9463812929;B
20240125;100010;1620;50;9463812930;B
20240125;100010;1620;2;9463812931;B
20240125;100010;1620;3;9463812932;B
20240125;100010;1620;3;9463812933;B
20240125;100010;1620;9;9463812934;B
20240125;100010;1620;4;9463812935;B
20240125;100010;1620;1;9463812936;B
20240125;100010;1620;15;9463812937;B
20240125;100010;1620;5;9463812938;B
20240125;100010;1620;5;9463812939;B
20240125;100010;1620;1;9463812940;B
20240125;100010;1620;1;9463812941;B
20240125;100010;1620;1;9463812942;B
20240125;100010;1620;5;9463812943;B
20240125;100010;1620;1;9463812944;B
20240125;100010;1620;2;9463812945;B
20240125;100010;1620;1;9463812946;B
20240125;100010;1620;3;9463812947;B
20240125;100010;1620;40;9463812948;B
20240125;100010;1620;19;9463812949;B
20240125;100010;1620;50;9463812950;B
20240125;100010;1620;1;9463812951;B
20240125;100010;1620;1;9463812952;B
20240125;100010;1620;20;9463812953;B
20240125;100010;1620;20;9463812954;B
20240125;100010;1620;20;9463812955;B
20240125;100010;1620;2;9463812956;B
20240125;100010;1620;1;9463812957;B
20240125;100010;1620;30;9463812958;B
20240125;100010;1620;1;9463812959;B
20240125;100010;1620;10;9463812960;B
20240125;100010;1620;1;9463812961;B
20240125;100010;1620;10;9463812962;B
20240125;100010;1620;5;9463812963;B
20240125;100010;1620;1;9463812964;B
20240125;100010;1620;20;9463812965;B
20240125;100010;1620;10;9463812966;B
20240125;100010;1620.2;1;9463812967;B
20240125;100010;1620.2;10;9463812968;B
20240125;100010;1620.2;4;9463812969;B
20240125;100010;1620.2;1;9463812970;B
20240125;100010;1620.4;1;9463812971;B
20240125;100010;1620.4;100;9463812974;S
20240125;100010;1620.6;1;9463812975;B
20240125;100010;1620.6;5;9463812976;B
20240125;100010;1620.6;1;9463812977;B
20240125;100010;1620.8;1;9463812978;B
20240125;100010;1620.8;10;9463812979;B
